Date X	Observation
0	120
5.22929500342231	64
8.12320328542094	46
8.23819301848049	51
8.27652292950034	52
8.31211498973306	53
8.54209445585216	54
8.65708418891171	68
8.90622861054073	59
9.23203285420944	68
9.53867214236824	77
9.76865160848734	86
9.88364134154689	74
9.96577686516085	83
9.99863107460643	80
10.113620807666	49
10.2094455852156	56
10.2614647501711	65
10.3244353182752	72
10.3436002737851	60
10.362765229295	58
10.3819301848049	63
10.4147843942505	51
10.4585900068446	44
10.5023956194387	48
10.54893908282	53
10.5927446954141	50
10.631074606434	53
10.6694045174538	49
10.7268993839836	50
10.7843942505133	47
10.880219028063	48
11.0910335386721	92
11.2060232717317	90
11.4743326488706	94
11.7426420260096	103
11.9123887748118	90
12.0876112251882	90
12.2600958247775	85
12.4325804243669	93
13.0431211498973	107
13.1033538672142	104
13.4674880219028	89
13.8261464750171	88
13.9219712525667	83
14.0807665982204	101
14.2532511978097	79
14.3490759753593	77
14.5598904859685	92
14.7515400410678	87
